"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB42721",55.7997469728613,0.407517658519645,0.718409786154479,0.5672495926051,0.570544618810932,0.761751898515405
"GB52539",35.1945937769697,-0.479261844455091,0.845302812899033,-0.566970601708309,0.570734155168627,0.761911560006948
"GB44250",3.7128419086922,-1.33430988503424,2.35454998447941,-0.566694227699421,0.570921943269677,0.762068848785946
"GB52030",146.332411029276,-0.296838877273334,0.524006923781404,-0.566478921941047,0.57106825765379,0.762170746521882
"GB44049",42.3152923737848,-0.418705685359188,0.739278085677865,-0.566371022583829,0.571141589056999,0.762175225190987
"GB44039",288.06975122067,0.267250798636792,0.472012202258409,0.566194681743593,0.571261444841793,0.762241780866937
"GB48795",279.054318060512,-0.260603911501966,0.460547682088452,-0.565856526126029,0.571491316776559,0.762361717370518
"GB50084",7.47754159791448,-0.901353184662535,1.5927520779658,-0.565909281885041,0.571455451490744,0.762361717370518
"GB42328",116.712502690989,-0.352460994899456,0.623361550290258,-0.565419851024398,0.571788225512687,0.76243757947472
"GB54473",102.786027939872,-0.363292643888128,0.642702168871142,-0.565258157641235,0.571898184383811,0.76243757947472
"GB55425",325.86691407075,0.263322678893945,0.46558357584159,0.56557553263764,0.571682364417936,0.76243757947472
"GB44639",24.9275234315763,0.527488928749379,0.932685792066044,0.565559090999885,0.571693544037737,0.76243757947472
"GB44444",69.037191011075,0.359173234429491,0.63534342000222,0.565321404333165,0.571855172553398,0.76243757947472
"GB47837",339.575518148914,-0.24961643883317,0.441849034163606,-0.564936029125151,0.572117276412994,0.762542997392356
"GB44262",1995.84208286955,0.235995604822969,0.417684213746626,0.56500963420688,0.572067211242554,0.762542997392356
"GB40978",501.500759964719,-0.246530557353454,0.436477945589376,-0.564817901670987,0.572197629444122,0.762556782075784
"GB54862",579.987437884433,-0.297005039294411,0.52619743844375,-0.564436497776986,0.572457105806347,0.762707062732368
"GB47245",12.0037739194234,0.728695774995407,1.29115380563957,0.564375655179554,0.572498503356207,0.762707062732368
"GB44895",80.313391162512,0.354078379035042,0.627416561996085,0.564343373258373,0.572520468683423,0.762707062732368
"GB53192",26.2530443820058,-0.491553146964585,0.87178379618199,-0.563847537792467,0.572857896276623,0.762769937279644
"GB40020",115.756007034966,-0.321257442399514,0.570330411847922,-0.563283029846876,0.573242171945477,0.762769937279644
"GB51620",17.6463807812307,0.598571886610885,1.06245324254868,0.563386568593828,0.573171681194572,0.762769937279644
"GB45778",15.274252967409,-1.74934271342471,3.1014351057995,-0.564042984537559,0.572724878941876,0.762769937279644
"GB41452",48.4921203642646,0.401208451391612,0.712576106747935,0.563039439004842,0.573408028502179,0.762769937279644
"GB53648",9.88034075614796,0.765221594033193,1.35720565546406,0.563821400944243,0.572875685629421,0.762769937279644
"GB53794",137.540000047038,0.303500704803706,0.539038027714446,0.563041361090176,0.573406719700317,0.762769937279644
"GB49549",106.718588254449,-0.318301276516036,0.565076880332454,-0.563288443740202,0.573238485982834,0.762769937279644
"GB44026",15.0094881766465,-0.749350943092714,1.33005329300643,-0.563399186358087,0.573163091110157,0.762769937279644
"GB40238",24.620219891113,0.527488868182627,0.935017058571279,0.56414892471442,0.572652784201719,0.762769937279644
"GB40134",5120.86703908622,0.251044486147494,0.445709183458377,0.563247282004765,0.573266510573923,0.762769937279644
"GB52727",46.4773937147004,0.403600732794226,0.716768707269676,0.563083640093087,0.573377931098595,0.762769937279644
"GB45451",6.07015132276848,0.951087813265746,1.68985693924462,0.562821497594281,0.573556440111516,0.762781043430357
"GB52451",5.14172495765444,1.12511648735166,1.99877988730923,0.562901645396433,0.57350185972866,0.762781043430357
"GB51585",44.4512095692621,-0.414931992979674,0.737589818585215,-0.562551139569095,0.573740571173701,0.762932767821261
"GB48157",142.553469221999,0.289329315345009,0.514652497033516,0.562183836691202,0.573990772734375,0.76317230183384
"GB46475",10.6667933694729,-0.749350524017026,1.33396883725119,-0.561745149580224,0.574289667938417,0.763181045851017
"GB51548",150.679039140639,-0.283970205756679,0.505622502108247,-0.561624936731722,0.574371586656451,0.763181045851017
"GB43417",40.0114887377751,-0.427422931002091,0.761138743148021,-0.561557186320981,0.574417757426243,0.763181045851017
"GB46959",3.13251417314571,1.69332886335986,3.01291968189158,0.562022570179086,0.574100641541566,0.763181045851017
"GB54105",4.77376601422497,-1.16438631953622,2.07202621465513,-0.561955399647306,0.5741464069016,0.763181045851017
"GB49462",338.031032701999,0.271030336869248,0.482595158786452,0.561610144516968,0.574381667153064,0.763181045851017
"GB51045",799.337597194712,-0.284973826315839,0.507633531767693,-0.561377073188009,0.574540510050767,0.763251034939988
"GB53465",2.86037756467365,1.42057119695531,2.53317618529094,0.560786575053073,0.574943039680304,0.763692632707058
"GB45836",60.1864681347805,-0.3816192778652,0.680933497055096,-0.560435460313861,0.575182450107963,0.763786524440196
"GB43964",25.4364133838613,0.498576300845975,0.889870962471561,0.560279323488892,0.575288928401658,0.763786524440196
"GB41307",180.965660993747,-0.38011757241033,0.678304537310826,-0.560393674966891,0.57521094492267,0.763786524440196
"GB50532",4.80466502953715,1.25064407689431,2.23221051550862,0.560271564086483,0.575294220208168,0.763786524440196
"GB53581",20.510749365658,-0.568778570817663,1.01575147500334,-0.559958400075954,0.575507812986366,0.763976977336684
"GB40550",11.9289312269598,0.710080472612467,1.26851810915473,0.559771648104912,0.575635204560284,0.764005734984992
"GB41980",73.3831571633826,0.358708556949137,0.640870298140865,0.559720988770636,0.57566976377358,0.764005734984992
"GB50972",130.447507666839,0.300574056599787,0.537166601005528,0.559554626138593,0.575783261334263,0.764053029254592
"GB49552",2376.21128953818,0.262175068838729,0.468619039513959,0.559463117654483,0.57584569566204,0.764053029254592
"GB53357",340.069600397902,0.262089779389599,0.468983190253068,0.558846851735075,0.576266244260496,0.764517896770442
"GB55443",63.9259896901053,-0.380117218147598,0.680854937703611,-0.558293987599851,0.576643649858654,0.764821890563259
"GB43736",182.903537522155,-0.272537395758259,0.48814365229149,-0.558313919435168,0.576630041622442,0.764821890563259
"GB50032",51.4817442783878,0.426498606549012,0.764056993238258,0.558202608343925,0.576706039955568,0.764821890563259
"GB48665",130.425673862914,-0.3285079216257,0.588665006193387,-0.558055801125333,0.576806280709326,0.76486170069223
"GB48803",6.79812024929481,-0.901352864867963,1.61633096840206,-0.557653650451963,0.577080913396803,0.765039594537241
"ENSRNA022717251",3.84113007930141,1.69332630458438,3.03651078029077,0.557655291585108,0.577079792525492,0.765039594537241
"GB43177",25.8371838716178,-0.597347682714531,1.07143866741791,-0.557519250405717,0.577172710256979,0.765068170879763
"GB51626",21.6076655699347,0.546104527873797,0.980460621565061,0.556987721752738,0.57753581815192,0.765289862021468
"GB54055",42.5857826721913,-0.415927289533968,0.746819262015926,-0.556931657615839,0.57757412401381,0.765289862021468
"GB48889",587.069427608021,0.253269548478835,0.454962319199165,0.5566824719125,0.577744394796116,0.765289862021468
"GB44592",288.810147214144,0.253067447085778,0.454711348042826,0.556545263660197,0.577838160485978,0.765289862021468
"GB51681",10.9287792210201,-0.690456769975226,1.23954251079903,-0.557025486387026,0.577510016112589,0.765289862021468
"GB52559",127.384861711079,-0.315777623925042,0.567484253848338,-0.556451781320146,0.577902048762998,0.765289862021468
"GB54214",143.585753638814,0.289122973640943,0.519372502045014,0.556677476190076,0.577747808658731,0.765289862021468
"GB52774",291.764424513755,0.248364294709441,0.446202052643674,0.556618449507176,0.577788145683026,0.765289862021468
"GB53191",220.913535297079,-0.262420680562494,0.472043345922803,-0.555924965003976,0.57826215094417,0.765536747028616
"GB45494",14.48397989357,0.665686027725019,1.19777730946488,0.55576777291133,0.578369619105626,0.765536747028616
"GB47046",22.6592667916754,-0.633873844824753,1.14039090624462,-0.555839091099155,0.578320859544529,0.765536747028616
"GB53411",3.20746772594901,-1.74934246382294,3.14711236560154,-0.555856372636563,0.578309044614048,0.765536747028616
"GB53119",214.371502449059,1.25063423543968,2.25101757807259,0.555586170282387,0.578493787807587,0.765608060364548
"GB48941",7.59588053326449,-0.856265193089769,1.54292453008171,-0.554962460182302,0.578920337780898,0.766079494485426
"GB44311",6902.6156431534,-0.242588737387504,0.437377369708294,-0.554644008100595,0.579138181374319,0.766274668553095
"GB54328",73.2570206928232,0.363711469486775,0.656521469497381,0.553997830056076,0.579580330790742,0.766766544755588
"GB49583",1791.98498063979,-0.244395113666251,0.441233521970268,-0.553890630464652,0.579653697771369,0.76677047317534
"GB52840",19.8867178154775,-0.633873487772474,1.14461986831855,-0.553785152011765,0.579725891063598,0.766772848265296
"GB50905",45.8449898838193,-0.508343072964129,0.918330200539018,-0.553551514113066,0.579885816360147,0.766891247182458
"GB52093",84.4181163739649,0.350184442448314,0.633381993319096,0.552880325209833,0.580345360652539,0.767405811366694
"GB44248",4.46917524606263,1.15753814852966,2.09473415065136,0.552594298503093,0.580541246986787,0.767571651150774
"GB40425",25.4417305786839,0.48444603971443,0.876999269102325,0.552390471442806,0.580680857517032,0.767663053777827
"GB43388",17.8230548447478,0.608200532289687,1.10161313300361,0.552099928793873,0.580879890716452,0.767827776687292
"GB52092",27.189370661158,0.513682970384009,0.930842001062418,0.551847649544945,0.581052737873409,0.767827776687292
"GB40278",213.198013831599,0.28004974210095,0.507523124774736,0.551797008708224,0.581087436947608,0.767827776687292
"GB50244",303.982954827728,-0.255873758273722,0.463681298434864,-0.551831094196408,0.581064081482677,0.767827776687292
"GB43015",368.311521213678,-0.246182702151401,0.446579397225265,-0.551263008730384,0.58145339245492,0.767871095260825
"GB45523",22.5974058844915,0.543430328765931,0.985836891021064,0.551237566493462,0.581470830963044,0.767871095260825
"GB43934",3.08657633842194,1.69332812772082,3.06974427842909,0.55161862817686,0.581209670914921,0.767871095260825
"GB49194",3.65469035192662,1.25064666691523,2.26880926443892,0.551234820184196,0.581472713341102,0.767871095260825
"GB53066",174.971172215089,0.297674165954769,0.539762198726682,0.551491317207824,0.581296917190344,0.767871095260825
"GB42420",40.9566489019542,0.420573745425515,0.763453177896106,0.550883482579136,0.581713551013634,0.767909828825658
"ENSRNA022717253",13.3217481672437,-0.661887802278918,1.20137754402217,-0.550940714326107,0.581674316165357,0.767909828825658
"GB52751",234.359602031633,0.289819428365198,0.525939235673436,0.551051164673235,0.581598601152815,0.767909828825658
"GB54807",12.6658365117951,0.728695591855103,1.32390495431246,0.550413826522415,0.582035567358005,0.768241808005742
"GB45545",180.331596246938,0.290177154440013,0.527311141757033,0.550295890720466,0.582116442283928,0.768255457331461
"GB42228",267.138600840098,-0.271021445842509,0.492597288122423,-0.550188668060943,0.582189975186968,0.768259414797244
"GB41837",45.320315351918,-0.414931987326219,0.754523292324409,-0.549926014938474,0.582370120053549,0.768310967493127
"GB40977",543.284741417189,0.258713115221007,0.470370902094665,0.550019386975046,0.582306076359668,0.768310967493127
"GB54733",3.34389502782473,1.69332544331221,3.08175475887089,0.549467941418097,0.582684359402523,0.768632438247824
"GB52714",10.9388300692348,1.05799620343958,1.92755653095485,0.548879468098132,0.583088169353252,0.769071971493779
"GB42361",4.01832464259175,-1.07127694320837,1.95642567138933,-0.547568435067415,0.58398826814438,0.770165905875843
"GB55151",213.217592327514,-0.284228354194403,0.519428835849065,-0.547194022699568,0.584245442251783,0.770318527660867
