"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB46425",1025.78012437254,0.807791200257097,0.353527555703578,2.28494550771144,0.0223160231771574,0.0753829738805659
"GB54582",109.942476225487,1.07472491424253,0.470427039558286,2.28457300254607,0.0223378774651545,0.0754089336311782
"GB49356",117.726498320896,1.15813982989853,0.506920558724307,2.28465744773313,0.0223329215693711,0.0754089336311782
"GB40681",4.3188707873275,5.05645229298866,2.21516281672136,2.28265491584616,0.0224507034183213,0.0757657854104667
"GB52749",36.9479119199267,1.5172563816195,0.664876065645887,2.2820138368879,0.0224885233495867,0.0758693637188593
"GB53426",177.725702534246,0.963347422972001,0.422225344099473,2.2815954476315,0.0225132357386627,0.0759120295417598
"GB47804",420.472638196079,-1.04016694883133,0.45590199039352,-2.28155825319712,0.022515433790242,0.0759120295417598
"GB45296",90.9384852807005,1.13176565714714,0.496149703307953,2.28109711565153,0.02254270078656,0.0759798946080256
"GB43477",18.3611170840921,-2.1914637892679,0.960809237656865,-2.28085212275045,0.0225571988529206,0.0760046928111703
"GB49878",233.970278235924,-1.01200649098672,0.443913004376298,-2.27974058207327,0.0226230788898282,0.0762025480073832
"GB50030",24.5680437657507,1.76971137218567,0.776340902765355,2.2795544661912,0.0226341261421447,0.0762156401951876
"GB45703",26.3723102300104,1.6732445734922,0.734181318531171,2.27906176752053,0.0226633938186321,0.0762900581295129
"GB46124",103.15944337237,1.0862496724009,0.47684155914907,2.27800964819284,0.022726002764362,0.0764590194347262
"GB54313",48.0956288914704,-1.58666196633641,0.696522410620812,-2.27797690661842,0.0227279535411005,0.0764590194347262
"GB44348",7.61033862917256,-3.36645288605969,1.47877400299056,-2.27651614056754,0.0228151356750826,0.0767280581755385
"GB51634",35.9294544039847,1.57698260056831,0.692786203821998,2.27629042245404,0.0228286329747604,0.076749200689624
"GB41602",1214.51598888675,0.847167286414491,0.372216536875091,2.27600657812467,0.0228456159029538,0.0767820447335145
"GB44949",179.683816968004,0.984558376115764,0.432688820471514,2.27544214117402,0.0228794198208214,0.0768471267190984
