"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB43778",71.2852920570297,0.0974960292006068,0.493824992796765,0.197430325768732,0.843490800094368,0.930705259369254
"GB52076",6.8781077424997,0.222228693982628,1.12756154635569,0.19708786159024,0.843758782179439,0.930816575132303
"GB42836",102.797320798079,0.0799760928696531,0.405763262456202,0.197100379136186,0.843748986739775,0.930816575132303
"GB45180",6.80780442091323,-0.249946831183939,1.27132858531234,-0.196602856312346,0.844138335224557,0.931045704122198
"GB41213",21.2949296371952,-0.146693825051779,0.746828851166156,-0.19642227911083,0.844279659693799,0.931045704122198
"GB44365",180.89859671807,-0.0708991606972854,0.361002290588015,-0.196395320876779,0.844300758347237,0.931045704122198
"GB54286",500.141447582372,0.063608357333561,0.323807827736373,0.196438603038799,0.844266883952098,0.931045704122198
"GB48532",99.7997673709399,-0.0803461687780773,0.40945566089376,-0.196226787053567,0.84443266257238,0.931098999774236
"GB40091",206.622688814158,0.0651236375243112,0.332697563410936,0.195744257507149,0.84481034195084,0.931331092388117
"GB45977",8.4768684281078,0.212777979097427,1.08645290175039,0.195846482396631,0.844730326806692,0.931331092388117
"GB47600",4.25090390318512,-0.283335659518979,1.44832441765095,-0.195629968027829,0.844899802384534,0.931337557966369
"GB50357",683.939244792276,-0.0606401563899375,0.315808842626509,-0.192015384640934,0.847730154458811,0.931644090100955
"GB45812",339.192346191947,0.0607913870748001,0.315592409727637,0.192626264767471,0.847251673828407,0.931644090100955
"GB46504",2.27330252445278,0.354416160048112,1.84116170977396,0.192495943276826,0.847353745288777,0.931644090100955
"GB51623",29.1634778309265,-0.128074992276471,0.664036783258847,-0.192873340009761,0.847058164578079,0.931644090100955
"GB41949",8.3625968734256,0.451192479870192,2.33068563813918,0.193587874952721,0.846498592975996,0.931644090100955
"GB45421",38.6521446522155,-0.112209058933994,0.584530981168717,-0.191964262885848,0.847770198854993,0.931644090100955
"GB55723",25.9415994090461,0.125005047062449,0.643299027075258,0.194318725509008,0.845926324247518,0.931644090100955
"GB49743",7.00557482771616,-0.219485271886972,1.14303905886332,-0.192019047980071,0.847727284928374,0.931644090100955
"GB55656",55.2200504912172,-0.0974871375587995,0.501208264498642,-0.194504249957482,0.84578106829098,0.931644090100955
"GB44543",40.406837402077,0.108745753431415,0.558858801453663,0.194585382118977,0.845717547691612,0.931644090100955
"GB44615",106.530357016919,0.0772584886215406,0.401641851679278,0.192356668754813,0.847462831845873,0.931644090100955
"GB44643",391.591329613932,-0.0616015490898939,0.320060112726592,-0.19246868522638,0.847375094885132,0.931644090100955
"GB41335",17.6536730330932,-0.156020009500592,0.80706333344337,-0.193318173475836,0.846709794404236,0.931644090100955
"GB45717",503.69852095063,-0.0589657202965624,0.306557729751823,-0.192347850254171,0.847469739021462,0.931644090100955
"GB40483",39.7725730771725,-0.104419310204174,0.540524566391603,-0.193181432809335,0.846816879316262,0.931644090100955
"GB40372",5.96298303929549,0.260790518809337,1.34753988897745,0.193530834183494,0.846543260303102,0.931644090100955
"GB41888",631.425235110681,0.0606031227002423,0.311706628928865,0.194423592813846,0.845844217979421,0.931644090100955
"GB44355",54.6202106088852,-0.0918146730063402,0.477741820992778,-0.192184709338495,0.847597522828165,0.931644090100955
"GB44346",4.095340689789,-0.28744675439017,1.49544333250247,-0.19221507638752,0.84757373684761,0.931644090100955
"GB52527",26.6957597302362,-0.128507871895996,0.667418474595272,-0.192544672926419,0.84731557855553,0.931644090100955
"GB51053",65.0990573017735,-0.0882580690793882,0.455292337723707,-0.193849229970893,0.846293938123926,0.931644090100955
"GB49327",7.70274874925645,0.199627672548221,1.02513634305966,0.194732802031391,0.845602131156726,0.931644090100955
"GB49334",20.8717126086497,-0.151294668005121,0.777445477381659,-0.194604859641943,0.845702298352746,0.931644090100955
"GB45555",239.745390703298,-0.0649951703793455,0.338129775995555,-0.192219600264366,0.847570193385557,0.931644090100955
"GB44858",7.43422135553484,0.21999268596438,1.12841674473145,0.194956949187009,0.845426650439511,0.931644090100955
"GB41629",132.404103965441,0.0733294916653524,0.378933476080722,0.193515475127173,0.846555287714525,0.931644090100955
"GB52902",9.15501253406075,0.20718982445752,1.07248061309505,0.193187477636164,0.846812145406889,0.931644090100955
"GB49976",3.61261275892102,-0.356168006164656,1.85234248486264,-0.192279780372832,0.84752305580606,0.931644090100955
"GB54335",10.5500104064462,-0.196895208379376,1.01485725529495,-0.19401271198692,0.84616592829799,0.931644090100955
"GB54350",28.6209239687653,0.115967051314762,0.594300462663708,0.195132022605177,0.845289593988968,0.931644090100955
"ENSRNA022717972",8.80143280896832,0.451195829226351,2.33498206868739,0.193233102419493,0.846776415266467,0.931644090100955
"GB42657",47.5294112870692,-0.0988909395027221,0.515535867674315,-0.191821647538975,0.847881913556949,0.931674957977904
"GB51759",74.8882406223241,0.0875526404197621,0.457175587849195,0.191507689270238,0.848127856862912,0.931853299142969
"GB52590",3.80581813972982,-0.289169660177257,1.51210165647766,-0.191236917794839,0.848339981108279,0.931994451190942
"GB51793",13.4079305049822,-0.161607810915066,0.846058165393608,-0.191012648450574,0.848515683580053,0.932095566038786
"GB55244",165.19134655564,0.0690075959224542,0.36199713048077,0.190630229114813,0.8488153050691,0.932282251570629
"GB40459",9.69742282315048,-0.202895001507857,1.06460662870842,-0.190582132438917,0.848852989851222,0.932282251570629
"GB42977",113.150792844029,-0.0753811925228302,0.395952647750589,-0.190379311645146,0.849011908112943,0.93236487612482
"GB55014",324.667547305145,-0.0610431028902994,0.32136739477505,-0.189948027966646,0.849349856637474,0.932420696579597
"GB47212",6.4303534642872,-0.212029883016248,1.11660956312915,-0.189887217535611,0.849397509163121,0.932420696579597
"GB48421",3.36311225203319,0.323742318425657,1.70295345603594,0.190106380933774,0.849225770002881,0.932420696579597
"GB50023",16.4696076418386,-0.143819834629304,0.756954172231177,-0.189998073734615,0.849310639975245,0.932420696579597
"GB41244",59.3336921866802,-0.0878736096017924,0.463471616852409,-0.189598686104171,0.849623616872959,0.932537757444568
"GB46149",22.5274681578355,-0.128132253069667,0.676025806612277,-0.189537517379355,0.849671553345284,0.932537757444568
"ENSRNA022717428",21.6971037585371,0.139187563475747,0.73542248654455,0.189262044637406,0.849887441654975,0.932584562203969
"GB55918",18.6054568990312,0.145179788174165,0.767743159637838,0.189099422575968,0.85001489403928,0.932584562203969
"ENSRNA022717934",13.3335537985163,0.19057651516945,1.00659562762755,0.189327779635424,0.849835924037128,0.932584562203969
"GB47605",11.647066693602,0.170613074125458,0.902447909194088,0.189055869471536,0.850049028739009,0.932584562203969
"GB42011",2.57302887262564,-0.329215761167943,1.74290080917317,-0.188889556671973,0.850179378805835,0.932591528287925
"GB52539",35.1945937769697,0.105927337100973,0.56095430400098,0.188834164111856,0.850222794436806,0.932591528287925
"GB52443",5.19528398380409,0.249419767540754,1.32304695609632,0.188519210441837,0.850469657737741,0.932711332486331
"GB40543",131.508734713213,0.0710970768017574,0.378006868998711,0.188084086911129,0.850810735281918,0.932711332486331
"GB51991",85.0605851951419,-0.082374835513814,0.437568440903138,-0.188255888253259,0.850676063106404,0.932711332486331
"GB51963",53.7972863828615,-0.091697620389052,0.48701574475509,-0.188284714357982,0.850653467235534,0.932711332486331
"GB42719",184.812203015043,-0.0632994928483354,0.33660276861952,-0.188053987517513,0.850834330137203,0.932711332486331
"GB50066",9.7404530833596,0.416451868330751,2.20969999006713,0.188465343803571,0.850511880324458,0.932711332486331
"GB41384",24.1239960044398,0.121655833130049,0.648189264967724,0.187685664828322,0.851123068376948,0.932936059109364
"GB44325",10.9048052585417,-0.196154537096769,1.049379750099,-0.186924263669337,0.851720014829621,0.93328682009892
"GB49407",109.535217663357,0.0742497479435491,0.397037076725768,0.187009607656448,0.851653100019038,0.93328682009892
"GB49018",4.34111593658162,0.276502483089115,1.47980899539296,0.186850116433905,0.85177815158117,0.93328682009892
"GB40315",4.34353275645519,0.262920847260587,1.40675936387532,0.18689823861296,0.851740420248975,0.93328682009892
"GB46607",5.68114474819427,0.22215753717214,1.19089063117046,0.186547388448084,0.852015520392456,0.9333660817308
"GB43123",56.158233490661,0.0908621248027731,0.487081027809989,0.186544167427968,0.852018046064288,0.9333660817308
"GB45958",123.292087562363,0.0721344282036308,0.386971343369362,0.186407674469008,0.852125074552355,0.933391550052874
"GB52206",5.5091456334349,-0.264388527062084,1.4204780521672,-0.186126442896256,0.85234560579346,0.933541328563206
"GB41449",165.809322881891,-0.0686023645980063,0.369310977305692,-0.185757718599363,0.852634763031111,0.933582692376374
"GB45284",247.088516451812,-0.0674791504274913,0.363131093153755,-0.185825867571521,0.852581318440486,0.933582692376374
"GB51782",209.658028722134,-0.0660703632378271,0.35543643519504,-0.185885172974943,0.852534809808384,0.933582692376374
"GB53015",825.07373137006,-0.0567394611433659,0.305711635393265,-0.18559797722575,0.852760039946128,0.933628105841176
"GB52154",108.042307684679,0.0731308169292164,0.394755214342906,0.185256113844999,0.853028158228106,0.933777636057642
"GB43954",55.7582514974777,-0.0884709633666968,0.47767893482098,-0.185210100168753,0.853064247356133,0.933777636057642
"GB55511",53.548462387366,-0.0947742728682021,0.512566124357722,-0.184901553896017,0.853306252175022,0.933915847238129
"GB53649",2.82885754279806,-0.319770044688937,1.73102714639918,-0.184728497963831,0.853441992705448,0.933915847238129
"GB42682",11.4757753313449,0.17541468581607,0.949259452765682,0.184791086678143,0.853392899259798,0.933915847238129
"GB41944",9.424887799882,0.181246506657042,0.983181085693407,0.184347023447074,0.853741226622838,0.934119595285483
"GB50390",254.762424952032,-0.0642283549518881,0.348623870137022,-0.184233956575159,0.853829921894873,0.934119595285483
"GB52800",30.2090104208752,-0.111488268707678,0.605353642801033,-0.184170476272036,0.853879719808577,0.934119595285483
"GB49593",40.0462900807814,0.0989741553038814,0.53843957182921,0.183816644396403,0.854157298287442,0.934331513030966
"GB45934",466.43101977149,-0.0588467336290531,0.320471953127792,-0.183625222284545,0.85430747504056,0.934404042747582
"GB47683",90.3703881626918,0.0736104374095037,0.404304360431839,0.182066889733468,0.855530232574078,0.934414839130841
"GB45876",51.8897004016541,0.0900680330099412,0.495281035356664,0.18185237588409,0.855698579737077,0.934414839130841
"GB42334",172.846231420997,0.0667716377287872,0.367214799622711,0.181832643448441,0.855714065778419,0.934414839130841
"GB46038",38.5786741892033,0.113177616745115,0.623654152619952,0.181474966966321,0.855994780376031,0.934414839130841
"GB45357",218.197886839795,-0.060595681527107,0.331807376650863,-0.182623069260053,0.855093782094151,0.934414839130841
"GB55658",422.419635005002,-0.0569303714275881,0.311635006749849,-0.182682850753306,0.855046872429151,0.934414839130841
"GB55580",3.52807975513949,0.28858200962697,1.58204682631789,0.1824105360387,0.85526055795592,0.934414839130841
"GB47274",46.8050153728076,-0.0965655953938179,0.531121293841,-0.181814580800306,0.855728241417043,0.934414839130841
"GB48874",90.8961446276204,0.074760621211202,0.411902531374644,0.181500756894363,0.85597453910268,0.934414839130841
"GB49122",37.1198162455149,-0.111884933328526,0.610058600362204,-0.183400304924966,0.854483936628759,0.934414839130841
"GB55808",937.131592845662,-0.0548043617291696,0.29991630482313,-0.18273218510574,0.855008160868857,0.934414839130841
"GB53785",73.1110511590091,0.0771919274882639,0.424205768190202,0.181968123200185,0.855607742211003,0.934414839130841
"GB43308",34.8367389608207,0.100395138852682,0.550895884045348,0.182239769365237,0.855394564087586,0.934414839130841
"GB48299",51.5266813266698,-0.0915931797182926,0.50446999794178,-0.181563185307332,0.855925542438065,0.934414839130841
"GB43365",11.48463114012,-0.163255356509876,0.893515792950807,-0.182711215400828,0.855024615283529,0.934414839130841
"GB48446",1292.36198411021,0.0599044264191792,0.327939299804126,0.182669251458912,0.855057543551916,0.934414839130841
"GB50903",5.37888412257912,-0.254295962964045,1.39165141484927,-0.182729640663347,0.855010157427222,0.934414839130841
"GB49325",160.406940000188,-0.0655788515354058,0.360321160135137,-0.182001111205378,0.855581853850578,0.934414839130841
"GB53381",90.1946543346623,-0.0760638944284171,0.418821995663695,-0.181613896156244,0.855885742660702,0.934414839130841
"GB47783",9.62325380305185,-0.199532372381706,1.09041120794173,-0.182988189160624,0.854807285832622,0.934414839130841
"GB47711",5.69666349962914,0.237943533393964,1.31700698808547,0.180669909534697,0.8566266787786,0.934561659682064
"GB55393",220.775074639475,-0.0663018094957058,0.367412952235735,-0.180455830672964,0.856794727110916,0.934561659682064
"GB46754",2.77842907850519,-0.385071697852451,2.13396820970732,-0.180448657154675,0.856800358315466,0.934561659682064
"GB40516",71.0125528001713,0.0818608800571881,0.452530615738061,0.180895782981834,0.856449378940389,0.934561659682064
"GB41750",5.15663593291613,-0.229327493915748,1.26998837591331,-0.180574482621407,0.856701586509894,0.934561659682064
"GB53674",19.8669867846051,0.139535940248584,0.771286792319399,0.180913172166444,0.856435729563504,0.934561659682064
"GB42681",259.170067289929,-0.0615213896598676,0.340809156964127,-0.180515659285361,0.856747761995081,0.934561659682064
"GB47549",8.5310161433085,0.182350739870814,1.00930062561393,0.180670392193501,0.856626299906837,0.934561659682064
"GB42772",30.216163611608,0.111709129667631,0.620416482350643,0.180055064372865,0.857109339412558,0.934807161076389
"GB50521",10.7552819144527,0.173207736944182,0.963394924698158,0.179788924047374,0.857318279258405,0.934943514997836
"GB46313",22.4354552364873,-0.12124487451714,0.675785131429719,-0.179413350306523,0.857613149437844,0.934990517456406
"GB40436",170.078510448804,0.0679191167235564,0.378363173443352,0.179507736192843,0.857539043389254,0.934990517456406
"GB49038",120.160061785804,-0.0682806931942782,0.38029859655911,-0.179544951814371,0.857509824295249,0.934990517456406
"GB46911",29.7737810872716,-0.115351987618268,0.643450067521046,-0.179271078582169,0.857724854900823,0.935020803175153
"GB42473",3.67136659695911,-0.260938578674066,1.45851110940211,-0.178907501624059,0.858010332379979,0.935149003428424
"GB55095",6.77390168852991,0.412602809383003,2.30578494660768,0.17894245080836,0.857982889775792,0.935149003428424
"GB52943",2.35575614536057,0.382917521341929,2.14179952734563,0.178783082381425,0.858108029558477,0.935163998563142
"GB46661",16.8115115999437,0.13029160102942,0.730813579359107,0.178282950275336,0.858500768018423,0.93541862589716
"GB44082",103.205668046325,-0.0725552888050216,0.406992737015472,-0.178271704151476,0.858509599658779,0.93541862589716
"GB40463",57.3842649020534,-0.0866489343235777,0.486476709267635,-0.178115278024354,0.858632443756548,0.935460987276717
"GB43363",12.0578931052686,0.153266547478242,0.861850421847601,0.177834277959365,0.858853126480987,0.935518447607027
"GB48247",991.86049212691,-0.050364655009409,0.28305414212745,-0.177932937602911,0.858775643110354,0.935518447607027
"GB40719",5.46978324545725,0.235374873497944,1.32585786932538,0.177526474702531,0.85909487168314,0.935690288925786
"GB51823",22.7118315124391,0.120006298119188,0.676505258386906,0.17739152302428,0.859200865374192,0.935702034674232
"GB48102",381.868726628256,0.0683316201051606,0.385403563079991,0.177298880059856,0.859273630441797,0.935702034674232
"GB43564",22.0322756083098,-0.125053527594671,0.706782839096466,-0.176933452083438,0.859560662175102,0.935923117405474
"GB43302",829.73923824423,-0.0512748901968507,0.290015665858973,-0.176800415401643,0.859665162751136,0.935945429317933
"GB54221",91.9064330716661,0.0722599642890486,0.409026749294448,0.176663175241457,0.859772967743423,0.935971334143979
"GB48171",183.715973740896,-0.0626504353698023,0.354904479231651,-0.176527598370799,0.859879468753765,0.93599581449787
"GB52314",50.6664467173309,-0.0844461217695893,0.478856584472126,-0.17634950527553,0.860019371818143,0.936056645313202
"GB46930",9.53758773986261,-0.167620014389458,0.951517602269135,-0.176160707894132,0.86016768855465,0.936126620903327
"GB48963",28.3549661184861,0.109192344218058,0.621319056634998,0.175742789557161,0.860496017234285,0.936392471967882
"ENSRNA022717511",18.3038536474626,0.145612089163334,0.829591353277073,0.17552266979174,0.860668959359818,0.936489195842146
"GB47722",5.25456301250021,-0.231722987276003,1.3220104277071,-0.175280756051148,0.860859032126869,0.936604538762251
"GB48564",10.2536912826575,0.166392949776006,0.953857854076382,0.174442081768172,0.861518044804234,0.937107278837838
"GB44492",38.5182786339162,0.0958888663509558,0.55054471064115,0.174170897472226,0.861731156392439,0.937107278837838
"GB51691",40.6393873159158,-0.0916791193908141,0.525764676817855,-0.174372915171278,0.861572398776717,0.937107278837838
"GB47045",84.6959348578913,0.0738135740745223,0.423689718524732,0.174216108739994,0.861695626183107,0.937107278837838
"GB50029",116.873920439297,-0.0719571724780735,0.413172964022788,-0.174157504831572,0.861741681329651,0.937107278837838
